"user_id","user_party","user_state","followed_mcs","followed_mcs_dem","followed_mcs_rep","followed_mcs_dem_n","followed_mcs_rep_n","followed_mcs_sameparty_n","followed_mcs_samestate_n","followed_mcs_samestate_dem_n","followed_mcs_samestate_rep_n","followed_mcs_samestate_sameparty_n","followed_natmedia","followed_natmedia_n","followed_statemedia","followed_statemedia_n","followed_statemedia_samestate","followed_statemedia_samestate_n","followed_partisans_n","followed_partisans_sameparty_n"
"23450905","democrat","NY","29442313;357606935;43910797;17494010;119250381;164369297;970207298;240812994;1051127714;72198806;467823431;182217410;15764644;111635980;221792092;216776631;164007407;33563161;40302336;571214272;258900199","357606935;43910797;17494010;119250381;164369297;970207298;240812994;1051127714;72198806;467823431;182217410;15764644;111635980;221792092;164007407;33563161;40302336;571214272;258900199","","19","0","19","15","15","0","15","759251;14511951;1367531;51241574","4","14677919;22059385;15754281;8861182;63363893;15738599;17448662;45564482;818040343;18995454;8862532;9763482;22049155;807095;17469289;11988052","16","14677919;22059385;8861182;63363893;11988052;15738599;17448662;45564482;818040343;18995454;8862532;9763482;22049155;807095;17469289","15","184","179"
"4608082538","democrat","AZ","2966570782;49217025;1080844782","2966570782;49217025;1080844782","","3","0","3","3","3","0","3","","0","17490662;3952661;16080839;17435612","4","17490662;3952661;16080839;17435612","4","20","18"
"2356493644","republican","MA","15745368","","15745368","0","1","1","0","0","0","0","","0","16684965;16381061;101280492;2488541;20914075","5","16684965;16381061;101280492;2488541;20914075","5","55","48"
"890254341877243904","republican","FL","20467163;2853309155;15745368;1177437224;37094727","","20467163;2853309155;15745368;1177437224;37094727","0","5","5","5","0","5","5","51241574","1","14085040;16861311","2","14085040;16861311","2","27","25"
"179660048","republican","FL","18170310;487297085;733751245;818948638890217473;109579534;19394188;58579942;281540744;1730030220;274164368;216881337;237348797;1071900114;15745368","1730030220","18170310;487297085;733751245;818948638890217473;109579534;19394188;58579942;281540744;274164368;216881337;237348797;1071900114;15745368","1","13","13","8","1","7","7","","0","14834379;8795782;222132843;105234949;93963954;22716962","6","14834379;8795782;222132843;105234949;93963954;22716962","6","120","120"
"21826591","republican","TX","1379584350;24735461;20688358;211530910;2196360306;161743731;211420609;93443168;15751083;1074480192;74198348;18916432;2847221717;237348797;12726012;237312687;743601590;518644221;24183358;15856366;295685416;231510077;18166778;26424123;20053279;23976316;236916916;237750442;13218102;74313566;22509548;234822928;93575832;18030431;733751245;18566912;19394188;15394954;1058807868;249288197;19926675;22055226;216881337;19929362;15745368","20688358;231510077","1379584350;24735461;211530910;2196360306;161743731;211420609;93443168;15751083;1074480192;74198348;18916432;2847221717;237348797;12726012;237312687;743601590;518644221;24183358;15856366;295685416;18166778;26424123;20053279;23976316;236916916;237750442;13218102;74313566;22509548;234822928;93575832;18030431;733751245;18566912;19394188;15394954;1058807868;249288197;19926675;22055226;216881337;19929362;15745368","2","43","43","28","2","26","26","759251;14511951;1367531","3","16365305;776753443;5692542;44513878;823993891;8940342;148878245;17469289;15679641;824014742","10","16365305;776753443;5692542;44513878;823993891;8940342;15679641;824014742","8","470","468"
"106151520","democrat","NV","102178242;17907578;122174004","102178242;17907578;122174004","","3","0","3","3","3","0","3","","0","15358759;12055942;11058482","3","15358759;12055942;11058482","3","22","22"
"18772406","republican","TX","20688358;23022687;15751083;13218102;12726012","20688358","15751083;23022687;12726012;13218102","1","4","4","5","1","4","4","","0","16365305;44513878;15021918","3","15021918;16365305;44513878","3","83","73"
"3279277182","democrat","AZ","2966570782;29442313;2167097881;14135426;49217025;216776631;771152516;30354991;970207298","2966570782;2167097881;14135426;49217025;771152516;30354991;970207298","","7","0","7","2","2","0","2","","0","15925421;44439772;17490662;14269985","4","17490662;44439772;15925421;14269985","4","191","186"
"799776908309307392","republican","FL","58579942;23022687;1730030220;33655490;15745368","1730030220","58579942;23022687;33655490;15745368","1","4","4","4","1","3","3","14511951;1367531","2","16233017;29468502;807095","3","16233017;29468502","2","54","53"
"21961370","republican","NY","33576489;756285384;15745368;343171266;1058256326;557794383;63169388","33576489;63169388","756285384;343171266;1058256326;557794383;15745368","2","5","5","5","2","3","3","","0","43805270;102556875;8861182;44200674;17469289","5","102556875;43805270;8861182;44200674;17469289","5","45","36"
"2329732639","republican","NJ","","","","0","0","0","0","0","0","0","","0","34677788;11877492;14179819;17498747","4","34677788;11877492;14179819;17498747","4","4","3"
